,cum_importance,pathway_id,pathway_names,Association,Diff Num. Trees Associated
PROBIOTIC_FREQUENCY,0.3242846180708775,,,IBD,16.0
property_100_93,0.3125886255392726,05132,Salmonella infection,IBD,6.0
property_100_28,0.2402648583248017,00511,Other glycan degradation,IBD,7.0
property_100_77,0.18843569225356635,00100,Steroid biosynthesis,HC,3.0
property_100_76,0.17570751554426156,00984,Steroid degradation,HC,1.0
property_100_44,0.16945796464733875,00030,Pentose phosphate pathway,EQ,0.0
property_100_82,0.15189515538158957,00592,alpha-Linolenic acid metabolism,EQ,0.0
property_100_95,0.1447931524758981,00460,Cyanoamino acid metabolism,HC,2.0
property_100_18,0.13075092591612417,00260,"Glycine, serine and threonine metabolism",IBD,1.0
property_100_52,0.11381318431102275,00340,Histidine metabolism,HC,1.0
property_100_27,0.10249985789652609,00791,Atrazine degradation,IBD,1.0
MILK_CHEESE_FREQUENCY,0.09422313795604345,,,HC,5.0
property_100_86,0.08590759657452163,01052,Type I polyketide structures,HC,8.0
property_100_87,0.07873372849815911,01055,Biosynthesis of vancomycin group antibiotics,IBD,4.0
property_100_12,0.07108746627526705,00460,Cyanoamino acid metabolism,EQ,0.0
property_100_33,0.06808628516652154,00780,Biotin metabolism,IBD,4.0
property_100_50,0.06802076052093442,00365,Furfural degradation,IBD,4.0
property_100_73,0.0641301402588071,00910,Nitrogen metabolism,EQ,0.0
property_100_68,0.06312494926462889,00625,Chloroalkane and chloroalkene degradation,IBD,4.0
property_100_8,0.059271338756426026,00260,"Glycine, serine and threonine metabolism",HC,3.0
property_100_67,0.058677619325555416,00460,Cyanoamino acid metabolism,HC,2.0
property_100_43,0.058331187722593436,01501,beta-Lactam resistance,HC,5.0
property_100_37,0.056118020446104276,05133,Pertussis,HC,2.0
property_100_63,0.053882807756618176,00780,Biotin metabolism,HC,5.0
property_100_2,0.051947466894492776,00860,Porphyrin and chlorophyll metabolism,HC,4.0
property_100_39,0.04822446951774531,01056,Biosynthesis of type II polyketide backbone,HC,2.0
RED_MEAT_FREQUENCY,0.045939620536981654,,,IBD,2.0
property_100_66,0.045576507106443946,00051,Fructose and mannose metabolism,IBD,2.0
property_100_38,0.044787506179559504,03050,Proteasome,HC,4.0
property_100_65,0.040036305720532794,00365,Furfural degradation,IBD,2.0
property_100_57,0.03441354678899807,00750,Vitamin B6 metabolism,HC,2.0
property_100_3,0.03325845268094713,00984,Steroid degradation,NA,0.0
property_100_13,0.03025402618395675,00760,Nicotinate and nicotinamide metabolism,HC,2.0
property_100_36,0.030119115765209457,00280,"Valine, leucine and isoleucine degradation",HC,2.0
property_100_40,0.02999330095130057,00404,Staurosporine biosynthesis,EQ,0.0
property_100_15,0.029857857641734976,00440,Phosphonate and phosphinate metabolism,EQ,0.0
property_100_6,0.029129545858206617,00790,Folate biosynthesis,IBD,2.0
property_100_84,0.02834045566231174,00062,Fatty acid elongation,EQ,0.0
property_100_97,0.027933783596566886,01054,Nonribosomal peptide structures,HC,2.0
property_100_51,0.02532896928856917,00062,Fatty acid elongation,HC,2.0
property_100_32,0.021010678754076865,00984,Steroid degradation,HC,2.0
property_100_61,0.0208049601228166,00311,Penicillin and cephalosporin biosynthesis,IBD,2.0
property_100_72,0.020271317959168172,01059,Biosynthesis of enediyne antibiotics,NA,0.0
property_100_20,0.019875743526402506,00562,Inositol phosphate metabolism,HC,4.0
property_100_14,0.019713353933993094,00984,Steroid degradation,NA,0.0
property_100_30,0.019040361270823872,00511,Other glycan degradation,NA,0.0
property_100_55,0.015620146334754639,00350,Tyrosine metabolism,IBD,2.0
property_100_99,0.015514491276582488,04626,Plant-pathogen interaction,NA,0.0
