OTU NNgenome identity
embed3946 toh 98.6
embed13848 tfo 99.3
embed16079 toh 99.3
embed6415 tfo 100
embed19359 pah 99.3
embed6416 pgi 97.9
embed5664 pgi 98.6
embed9466 pgi 100
embed23570 ash 97.1
embed272 ash 97.9
embed18082 afd 97.1
embed5540 afd 97.1
embed21676 ash 97.1
embed9727 bvu 98.6
embed20081 bvu 98.6
embed456 bvu 99.3
embed17526 bvu 98.6
embed1357 bdh 99.3
embed4974 bcel 99.3
embed1563 boa 99.3
embed16541 boa 98.6
embed1521 pdi 99.3
embed7828 bvu 99.3
embed18741 bdh 99.3
embed25912 bdh 99.3
embed16089 eab 99.3
embed14872 cfd 99.3
embed8718 eae 99.3
embed2137 eab 99.3
embed22561 span 98.6
embed4733 sphi 97.1
embed18086 span 97.1
embed8497 sphi 98.6
embed24692 span 97.1
embed12210 smy 99.3
embed23575 span 99.3
embed2535 span 100
embed5730 span 97.9
embed19372 aay 97.1
embed14873 nar 97.1
embed3254 blas 98.6
embed7477 ado 100
embed5413 ado 99.3
embed4869 ado 98.6
embed20083 ado 99.3
embed2353 sphr 100
embed24693 sphr 98.6
embed25914 sphr 99.3
embed21681 sbd 98.6
embed8956 sbd 97.9
embed19373 nar 97.9
embed19374 nar 97.9
embed25915 blas 97.9
embed997 blas 97.9
embed7325 smy 98.6
embed19375 smy 97.9
embed9729 smy 97.1
embed13267 smy 98.6
embed20883 stax 97.1
embed7919 smy 97.9
embed6046 smy 100
embed23576 smy 97.1
embed5414 smy 97.9
embed5944 stax 99.3
embed7478 stax 98.6
embed2286 stax 100
embed19376 stax 99.3
embed7106 stax 97.9
embed25916 stax 98.6
embed4763 cij 99.3
embed5945 pns 100
embed21682 npn 97.1
embed20084 npn 97.1
embed20085 nar 97.9
embed21683 amx 97.1
embed22567 eli 100
embed20086 eli 99.3
embed6714 nar 97.9
embed6180 cij 100
embed7107 npn 99.3
embed21685 npn 98.6
embed2448 npn 100
embed17053 npn 98.6
embed21686 npn 97.9
embed21687 npn 98.6
embed24697 npn 98.6
embed14874 smag 98.6
embed2544 sal 100
embed12211 smag 100
embed22568 smy 97.9
embed8834 pmib 99.3
embed2009 cfd 99.3
embed1276 eae 99.3
embed4792 caf 98.6
embed15251 caf 99.3
embed10333 csi 97.9
embed16090 ror 99.3
embed18087 hav 99.3
embed21688 prg 99.3
embed20888 mmk 99.3
embed183 eab 99.3
embed22569 ccon 98.6
embed24698 ecc 99.3
embed1127 tpar 100
embed7326 tsc 100
embed20088 pmib 99.3
embed6085 cfd 99.3
embed4267 eae 99.3
embed10013 caf 98.6
embed1031 eab 99.3
embed13574 daa 97.1
embed12212 smy 97.1
embed12973 span 99.3
embed11737 pde 97.1
embed20089 pde 97.9
embed13268 pde 97.9
embed6654 pami 97.1
embed25917 pde 97.1
embed3392 pde 97.9
embed4578 pde 97.9
embed15637 pde 97.9
embed2388 pde 98.6
embed4412 pde 97.9
embed1694 pye 100
embed10863 rcp 98.6
embed19378 pami 98.6
embed5577 pde 97.9
embed18745 pde 98.6
embed5500 pde 97.9
embed12213 pde 100
embed23579 pde 99.3
embed19379 pde 99.3
embed22574 pye 99.3
embed1546 pye 98.6
embed19380 rcp 97.1
